reconciled_at,target_date,daily_pnl_eur,daily_cycles,actual_prices_array
2026-03-07T09:44:39.796235+00:00,2025-04-01,-2.4505250563540728e-08,2.753376765880962e-11
2026-03-07T12:48:55.194979+00:00,2026-03-08,4.825050145627827,0.012354709874882241
2026-03-08T21:22:23.946801+00:00,2026-03-09,31.045749658893786,0.16358170580746503,"[115.495, 110.075, 97.10249999999999, 80.3425, 82.47, 104.38, 121.79499999999999, 157.615, 158.495, 122.1875, 109.19, 93.505, 84.1275, 80.275, 82.3025, 93.2875, 98.1, 114.0475, 171.8175, 218.06, 174.595, 148.845, 144.0225, 133.7625]"
2026-03-09T17:00:40.506581+00:00,2026-03-10,-2.4505250563540728e-08,2.753376765880962e-11,"[83.04717079754431, 77.36473029067066, 102.50451195806457, 110.61885059950856, 86.4704102269948, 95.95597972004887, 111.27840403167285, 105.81534886523623, 105.81275053849028, 92.68276415986062, 103.79397974862829, 95.5424907073651, 80.66030697561216, 83.5078407166047, 69.67509342252046, 50.19387193557121, 57.70674572729183, 41.433399203037965, 58.78450301307272, 50.52296610146542, 52.170614251014236, 51.97750112036416, 77.22541338674029, 70.69013382623632]"
2026-03-10T14:00:49.984929+00:00,2026-03-11,-1.6404460014251485e-10,9.284775613115645e-13,"[14.934999999999999, 33.975, 18.7375, 5.6499999999999995, 0.0, 2.105, 30.2025, 58.0925, 72.6825, 61.2225, 32.3025, 19.822499999999998, 15.2125, 22.822499999999998, 33.125, 39.69, 53.715, 89.42, 129.08499999999998, 158.55, 134.9925, 90.625, 95.7475, 92.85]"
2026-03-11T14:03:17.973090+00:00,2026-03-12,4.84168370853751,0.04250833097941219,"[79.5175, 84.53, 75.905, 63.925000000000004, 65.6425, 66.73750000000001, 91.22749999999999, 111.30000000000001, 99.88, 52.1525, 8.872499999999999, 0.0, -0.005, -0.01, -0.0075, -0.0075, -0.0025, 13.0225, 78.875, 113.335, 86.2975, 54.265, 50.2675, 25.8]"
2026-03-12T13:03:41.412684+00:00,2026-03-13,4.067692741044819,0.008506293785392176,"[9.6025, 9.73, 5.7325, 1.1400000000000001, 0.6375000000000001, 2.8925, 14.6775, 31.5075, 35.2475, 14.875, 4.445, 5.035, 17.935, 5.5575, 11.86, 23.7725, 30.567500000000003, 77.0925, 96.8625, 157.85750000000002, 121.39750000000001, 93.3875, 109.82, 115.9125]"
2026-03-13T13:02:06.809069+00:00,2026-03-14,8.059679552217716,0.02748443249498959,"[116.325, 113.1775, 106.655, 77.2175, 86.2925, 104.6375, 109.78, 115.985, 129.42, 123.71249999999999, 105.0025, 79.32249999999999, 91.2, 71.4075, 72.3575, 64.5875, 78.78, 100.03999999999999, 161.1, 169.83499999999998, 150.265, 137.4525, 135.2375, 128.04500000000002]"
2026-03-14T12:54:52.004534+00:00,2026-03-15,-1.2965049673655146e-08,1.5974894444803358e-11,"[138.57500000000002, 135.185, 122.35, 102.6275, 103.5175, 112.12, 104.35, 88.05, 82.245, 45.0, 6.8, 7.075, 8.565000000000001, 1.995, 0.08, 0.74, 1.86, 38.3225, 91.2225, 119.0275, 66.6, 49.510000000000005, 58.42, 35.66]"
2026-03-15T12:56:25.143081+00:00,2026-03-16,1.0355070668023043,0.006349894034905204,"[22.5125, 19.03, 9.565, 4.91, 5.0075, 35.9575, 77.91, 99.65, 96.66, 72.67, 42.215, 17.3375, 14.844999999999999, 4.2275, 11.190000000000001, 21.4525, 36.81, 81.475, 165.99, 179.925, 154.935, 125.9725, 122.17999999999999, 96.78999999999999]"
2026-03-16T13:16:10.703585+00:00,2026-03-17,21.5899723216149,0.039415803501934354,"[109.285, 98.2075, 94.88, 83.96000000000001, 94.1325, 94.9175, 109.6325, 153.4975, 145.07, 64.7125, 8.76, 0.0, -0.0075, -0.01, -0.01, 0.0, 6.8575, 55.4225, 110.5975, 163.4225, 129.4, 79.505, 69.97, 48.1775]"
2026-03-17T13:15:53.218650+00:00,2026-03-18,3.628441830665279,0.03934555234167577,"[37.56, 27.81, 33.7875, 28.622500000000002, 28.7, 28.4, 51.785, 66.06, 43.935, 9.3875, 0.0, -0.010000000000000002, -0.3975, -0.1975, -0.035, -0.015000000000000001, -0.0025000000000000022, 4.015000000000001, 41.0175, 64.225, 49.975, 36.79, 46.215, 26.27]"
2026-03-18T13:16:20.895950+00:00,2026-03-19,1.2392980126659152,0.002136816219961357,"[28.2125, 26.400000000000002, 20.615000000000002, 15.1075, 15.36, 23.3525, 30.950000000000003, 64.5875, 33.474999999999994, 6.8375, 0.0, -0.0025, -0.0075, -0.01, -0.005, 0.0, 0.335, 28.7, 73.5, 100.5325, 80.1225, 63.795, 61.067499999999995, 65.0075]"
